merchant,flyer_id,name,price,valid_from,valid_to
Giant Tiger,8035402,D'Italiano bread,2.47,2026-07-22T00:00:00-04:00,2026-07-28T23:59:59-04:00
Giant Tiger,8035402,Celery,1.77,2026-07-22T00:00:00-04:00,2026-07-28T23:59:59-04:00
Giant Tiger,8035402,Lactantia cream cheese,2.97,2026-07-22T00:00:00-04:00,2026-07-28T23:59:59-04:00
Giant Tiger,8035402,Knorr Sidekicks side dish,1.65,2026-07-22T00:00:00-04:00,2026-07-28T23:59:59-04:00
Giant Tiger,8035402,Brandt kolbassa sausage,3.97,2026-07-22T00:00:00-04:00,2026-07-28T23:59:59-04:00
Giant Tiger,8035402,Black Diamond cheddar style slices,2.97,2026-07-22T00:00:00-04:00,2026-07-28T23:59:59-04:00
Giant Tiger,8035402,1 pint blueberries,1.97,2026-07-22T00:00:00-04:00,2026-07-28T23:59:59-04:00
Giant Tiger,8035402,Planters peanut butter,4.97,2026-07-22T00:00:00-04:00,2026-07-28T23:59:59-04:00
Giant Tiger,8035402,Snack Pack pudding,1.77,2026-07-22T00:00:00-04:00,2026-07-28T23:59:59-04:00
Giant Tiger,8035402,Watson Ridge breaded chicken,5.92,2026-07-22T00:00:00-04:00,2026-07-28T23:59:59-04:00
Giant Tiger,8035402,Aqua Star frozen shrimp,6.98,2026-07-22T00:00:00-04:00,2026-07-28T23:59:59-04:00
Giant Tiger,8035402,Nescafé Rich instant coffee,6.44,2026-07-22T00:00:00-04:00,2026-07-28T23:59:59-04:00
Giant Tiger,8035402,Primo canned beans,3.5,2026-07-22T00:00:00-04:00,2026-07-28T23:59:59-04:00
Giant Tiger,8035402,227 g whole white mushrooms,1.97,2026-07-22T00:00:00-04:00,2026-07-28T23:59:59-04:00
Giant Tiger,8035402,Campbell's Chunky soup,2.25,2026-07-22T00:00:00-04:00,2026-07-28T23:59:59-04:00
Giant Tiger,8035402,Dare Viva Puffs cookies,2.75,2026-07-22T00:00:00-04:00,2026-07-28T23:59:59-04:00
Giant Tiger,8035402,Kraft Dinner,1.65,2026-07-22T00:00:00-04:00,2026-07-28T23:59:59-04:00
Giant Tiger,8035402,Tostitos chips,2.67,2026-07-22T00:00:00-04:00,2026-07-28T23:59:59-04:00
Giant Tiger,8035402,Gold Label Smokehouse bacon,3.97,2026-07-22T00:00:00-04:00,2026-07-28T23:59:59-04:00
Giant Tiger,8035402,Ruffles chips,2.67,2026-07-22T00:00:00-04:00,2026-07-28T23:59:59-04:00
Giant Tiger,8035402,Dare Ultimate cookies,2.75,2026-07-22T00:00:00-04:00,2026-07-28T23:59:59-04:00
Giant Tiger,8035402,4 pack tomatoes,2.97,2026-07-22T00:00:00-04:00,2026-07-28T23:59:59-04:00
Giant Tiger,8035402,Habitant Chunky soup,2.25,2026-07-22T00:00:00-04:00,2026-07-28T23:59:59-04:00
Giant Tiger,8035402,Royale bathroom tissue,6.99,2026-07-22T00:00:00-04:00,2026-07-28T23:59:59-04:00
Giant Tiger,8035402,Primo canned tomatoes,3.5,2026-07-22T00:00:00-04:00,2026-07-28T23:59:59-04:00
Costco,8041247,Hero Mighty Patch Original & Invisible Patch Pack,23.99,2026-07-20T00:00:00-04:00,2026-07-26T23:59:59-04:00
Costco,8041247,"Wolfe Creamed Raw Organic Honey, 1 kg",11.99,2026-07-20T00:00:00-04:00,2026-07-26T23:59:59-04:00
Costco,8041247,"Wild Black Cod, 142 g (5 oz) per piece",279.99,2026-07-20T00:00:00-04:00,2026-07-26T23:59:59-04:00
Costco,8041247,"Wellth Protein Pasta, 6 × 340 g",34.99,2026-07-20T00:00:00-04:00,2026-07-26T23:59:59-04:00
Costco,8041247,Venus Women's Aloe Bloom SensitiveGlide Razor,27.99,2026-07-20T00:00:00-04:00,2026-07-26T23:59:59-04:00
Costco,8041247,"Kraft Coleslaw Salad Dressing, 3.78 L",24.99,2026-07-20T00:00:00-04:00,2026-07-26T23:59:59-04:00
Costco,8041247,"Dare Bear Paws Chocolate Chip Cookies, 40 Pouches",12.49,2026-07-20T00:00:00-04:00,2026-07-26T23:59:59-04:00
Costco,8041247,"Jack Link's Teriyaki Beef Jerky, 300 g",15.99,2026-07-20T00:00:00-04:00,2026-07-26T23:59:59-04:00
Costco,8041247,"Miso Black Cod 7 oz Portions, 4.54 kg",299.99,2026-07-20T00:00:00-04:00,2026-07-26T23:59:59-04:00
Costco,8041247,"Otter Pops, Variety Pack, 80 × 26 ml",15.99,2026-07-20T00:00:00-04:00,2026-07-26T23:59:59-04:00
Costco,8041247,"Crapanzano Arancini Tomato & Mozzarella, 30 × 200 g",119.99,2026-07-20T00:00:00-04:00,2026-07-26T23:59:59-04:00
Costco,8041247,"Crapanzano Arancini al Ragù, 30 × 200 g",119.99,2026-07-20T00:00:00-04:00,2026-07-26T23:59:59-04:00
Costco,8041247,"Scotties Premium Facial Tissue, 21-pack",29.99,2026-07-20T00:00:00-04:00,2026-07-26T23:59:59-04:00
Costco,8041247,Vegetable Rennet and Lactose Free Cheese Selection,94.99,2026-07-20T00:00:00-04:00,2026-07-26T23:59:59-04:00
Costco,8041247,"Lavazza Crema e Gusto Nespresso Compatible Coffee Pods, 100-count",41.99,2026-07-20T00:00:00-04:00,2026-07-26T23:59:59-04:00
Costco,8041247,"Cascade Platinum Plus ActionPacs, 81-count",28.99,2026-07-20T00:00:00-04:00,2026-07-26T23:59:59-04:00
Costco,8041247,"Aged European Cheese Selection, 2.9 kg",179.99,2026-07-20T00:00:00-04:00,2026-07-26T23:59:59-04:00
Costco,8041247,Caseificio Tomasoni's Italian Spreadable Cheeses,49.99,2026-07-20T00:00:00-04:00,2026-07-26T23:59:59-04:00
Costco,8041247,"Kinder's Hickory Brown Sugar BBQ Sauce, 629 mL",12.99,2026-07-20T00:00:00-04:00,2026-07-26T23:59:59-04:00
Costco,8041247,"Crapanzano Arancini Prosciutto and Mozzarella, 30 × 200 g",119.99,2026-07-20T00:00:00-04:00,2026-07-26T23:59:59-04:00
Costco,8041247,"Cubeware 16 oz Rectangular Food Container, 55-pack",17.99,2026-07-20T00:00:00-04:00,2026-07-26T23:59:59-04:00
Costco,8041247,Guffanti Formaggi Extra Aged Bra Cheese DOP 250 g (8.8 oz) × 4 pack,69.99,2026-07-20T00:00:00-04:00,2026-07-26T23:59:59-04:00
Costco,8041247,"Red Band Sour Suckers Tub, 300 Suckers",10.99,2026-07-20T00:00:00-04:00,2026-07-26T23:59:59-04:00
Costco,8041247,"C4 Zero Sugar Energy Drink Variety Pack, 473 mL, 18-pack",30.99,2026-07-20T00:00:00-04:00,2026-07-26T23:59:59-04:00
Costco,8041247,"SpongeTowels Premium Paper Towels, 12 x 106 sheets",30.99,2026-07-20T00:00:00-04:00,2026-07-26T23:59:59-04:00
Costco,8041247,"iEco 8"" x 8"" Hinged Bagasse Containers 100-pack",27.99,2026-07-20T00:00:00-04:00,2026-07-26T23:59:59-04:00
Costco,8041247,La Prudencia Assorted Spanish Meat Pack 100 g (3.5 oz) × 10 pack,129.99,2026-07-20T00:00:00-04:00,2026-07-26T23:59:59-04:00
